errE,auc,rec_err,con_err
0.1599307470023632,0.55153908238654,0.1428942307829857,0.34073030948638916
0.1583710846801599,0.525737774466588,0.1409251888593038,0.34891796112060547
0.15857748066385588,0.4979534777839863,0.1411738395690918,0.348072811961174
0.15978270148237547,0.46801659733863127,0.14268140494823456,0.34202596296866733
0.1576241490741571,0.43730293247242397,0.1399760420123736,0.3529621362686157
0.15782719353834787,0.40648817284410504,0.14023046319683394,0.35193459937969845
0.1596426529188951,0.37736801804598413,0.14253088707725206,0.34223534415165585
0.1583253269394239,0.34922073218683386,0.1408717098335425,0.34907235701878864
0.15871498237053552,0.32387574760456117,0.1413490573565165,0.34731850028038025
0.15827580044666925,0.3012464559922187,0.1408054456114769,0.34940706690152484
0.15719282254576683,0.2815575008795348,0.13945811614394188,0.3546941379706065
0.1595848153034846,0.2647320005794582,0.14244485273957253,0.34279922147591907
0.1584258315463861,0.249874174789429,0.14099827781319618,0.34855107963085175
0.15833804508050284,0.23722201527286274,0.14088805268208185,0.34899985790252686
0.15890293568372726,0.22635210364023922,0.14159048845370611,0.34624897440274555
0.15924455473820368,0.21765009002297137,0.14202892407774925,0.3443126305937767
0.15949219837784767,0.21069359077833652,0.14235467463731766,0.3427504648764928
0.1591424619158109,0.20496750895055982,0.14191317682464918,0.34458571175734204
0.15786625196536383,0.20010088781275223,0.1403074450790882,0.3511761526266734
0.15865209822853407,0.196026882721798,0.1412904125948747,0.3472336530685425
0.15845202778776488,0.19278222718900684,0.1410351594289144,0.348337322473526
0.15788267428676286,0.19006270565592598,0.14031892394026121,0.3512749969959259
0.15856397648652396,0.18771051923594295,0.14117389917373657,0.3478015388051669
0.15746013695995012,0.18580637817925955,0.13979010035594305,0.35340071221192676
0.15914367387692133,0.18408455950828834,0.14190882196029028,0.3446970085302989
0.15887480477492014,0.18266178266178265,0.1415752855439981,0.3459903821349144
0.15766666705409685,0.181552120196188,0.14004506667455038,0.3524320001403491
0.15897947177290916,0.18037302622048387,0.14170175169905028,0.3455543940265973
0.15838405614097914,0.17942074874278263,0.14095393071571985,0.3486025209228198
0.15895439436038336,0.17852600318702017,0.14167037357886633,0.3456804280479749
0.15876361603538194,0.17764543366238283,0.14143668984373411,0.3465385486682256
0.15879580626885095,0.17677883321951118,0.1414670633773009,0.34657489011685055
0.15781770274043083,0.17594627594627593,0.14024867241581282,0.3513806387782097
0.15756580233573914,0.1753733366445231,0.13991738110780716,0.3529684121410052
0.15966189776857695,0.17503031808116554,0.14256312201420465,0.3419755548238754
0.1571027860045433,0.17464611659526913,0.13933931911985079,0.35526938488086063
0.1587395171324412,0.1742342873698806,0.1413872999449571,0.34704434871673584
0.15830357124408087,0.17384160096024504,0.1408529430627823,0.3490125834941864
0.16018526504437128,0.17337420583183294,0.1432154762248198,0.33939581364393234
0.1583750086526076,0.17299745452287824,0.14093240723013878,0.3488520433505376
0.15754423663020134,0.17267730386374452,0.1398905466000239,0.3530738229552905
0.15835721790790558,0.1722744769354939,0.14090858648220697,0.3489726384480794
0.157994095236063,0.17186409635562178,0.14045341933767,0.35081354280312854
0.1588319937388102,0.17144171271289915,0.14148629953463873,0.3469138517975807
0.15860044086972871,0.1710774818401937,0.14120778565605482,0.34785312165816623
0.15806442747513452,0.17079292647089256,0.140537790954113,0.3505326882004738
0.15786686912178993,0.17068748577223153,0.14027581612269083,0.35182106494903564
0.15758679807186127,0.17047484530535378,0.13991938531398773,0.3533482824762662
0.15805838132898012,0.1702458558390762,0.14051568259795508,0.35085399945576984
0.1582346260547638,0.17010564764802055,0.1407319741944472,0.3500530570745468
0.15803753584623337,0.16991421949049068,0.14048224439223608,0.35110584398110706
0.1577494516968727,0.1697050971627243,0.1401237597068151,0.3525138671199481
0.15775242572029433,0.16962107572277063,0.14010917271176973,0.35286503036816913
0.15654273703694344,0.16958982636948738,0.13859397793809572,0.3589751919110616
0.15776773542165756,0.16954843649758905,0.14012585952877998,0.35283752530813217
0.15735078354676565,0.16952908673247655,0.1395996275047461,0.3550230860710144
0.1578016715745131,0.1694842821961466,0.1401576225956281,0.35288093735774356
0.1576470136642456,0.16938732642122473,0.13994510099291801,0.3540382261077563
0.1577550768852234,0.16941009085076883,0.1400939797361692,0.35322197278340656
0.1581883728504181,0.16945551623517724,0.14063821360468864,0.3510031948486964
0.1570793886979421,0.1695185323151425,0.13923801481723785,0.3568274900317192
0.15553340564171472,0.16955526582645225,0.13727614159385362,0.3651452561219533
0.15760522584120432,0.1696045197740113,0.13988480965296426,0.3544083113471667
0.15848719576994577,0.16963432048177812,0.1409840149184068,0.350063589711984
