errE,auc,errG
0.8170883059501648,0.8334876140808345,0.6696653366088867
0.8142638802528381,0.8335919165580181,0.6703695058822632
0.8111029267311096,0.8336839055483123,0.6710608005523682
0.8084895610809326,0.8337897601456923,0.671743631362915
0.8058622479438782,0.8338909583824838,0.6724089980125427
0.8031882643699646,0.8339910183977981,0.673071026802063
0.8003606796264648,0.8340933548560667,0.6737168431282043
0.7977385520935059,0.8341943461434986,0.6743546724319458
0.7950918078422546,0.8342908880197015,0.674974262714386
0.7926473021507263,0.834400674654912,0.6755883097648621
0.7900662422180176,0.8345037354359388,0.6761888265609741
0.7876284718513489,0.834599346040024,0.6767752170562744
0.7852398753166199,0.8347057180108027,0.6773525476455688
0.7830464243888855,0.834798017425136,0.677913248538971
0.7807134389877319,0.834891662010306,0.6784640550613403
0.7785059809684753,0.8349856170195153,0.6790056824684143
0.7762483954429626,0.8350911611928561,0.679531991481781
0.7740503549575806,0.8351906003600919,0.6800461411476135
0.7718876004219055,0.8352880735084125,0.6805512309074402
0.7698981761932373,0.8354005504852962,0.6810398101806641
0.7677264213562012,0.8354954367666232,0.6815201640129089
0.7657628655433655,0.8355921855921856,0.6819841861724854
0.7638466954231262,0.8356870718735125,0.6824401021003723
0.7618871927261353,0.8357773017942509,0.6828827261924744
0.759995698928833,0.8358882266509385,0.6833130717277527
0.7580743432044983,0.8359900457358085,0.6837345361709595
0.756162703037262,0.8360934169408746,0.6841440200805664
0.7543986439704895,0.8361881997475218,0.6845394372940063
0.7525418996810913,0.8362759462759464,0.6849274635314941
0.7508265376091003,0.8363716603547111,0.685302197933197
0.7492725849151611,0.8364746176610584,0.6856651902198792
0.7474346160888672,0.8365727116574574,0.6860197186470032
0.7459043264389038,0.8366695639576995,0.6863613128662109
0.744251549243927,0.836760207777157,0.6866925954818726
0.74266517162323,0.8368514724446929,0.687014639377594
0.741133451461792,0.8369327000682933,0.6873266100883484
0.7396203875541687,0.8370244821092279,0.6876295804977417
0.7380467057228088,0.8371060201568675,0.6879208087921143
0.7366004586219788,0.8372046315266654,0.6882043480873108
0.7351332902908325,0.837295999668881,0.6884757876396179
0.7336004972457886,0.837384780944103,0.688739538192749
0.732230544090271,0.8374714927257298,0.688994288444519
0.7308570146560669,0.8375577906086381,0.6892377138137817
0.7294915914535522,0.8376600235922269,0.6894748210906982
0.7281132340431213,0.8377518056331615,0.689702033996582
0.7267877459526062,0.8378383104654291,0.68992018699646
0.7254616022109985,0.8379404399743383,0.6901308298110962
0.7241042852401733,0.8380336706607893,0.6903339624404907
0.7228198051452637,0.8381402495809276,0.690528929233551
0.7215632200241089,0.8382482771465822,0.690714955329895
0.7203387022018433,0.8383527865731255,0.690893292427063
0.7190566062927246,0.8384454998861778,0.6910640001296997
0.7178674936294556,0.8385744293371412,0.69122713804245
0.7166039943695068,0.8386874236874237,0.6913837194442749
0.7154378294944763,0.8388075577906087,0.6915323138237
0.7142179608345032,0.8389479729310237,0.6916742920875549
0.71302729845047,0.8390772128060263,0.6918087601661682
0.7118735909461975,0.8392450487365741,0.691936731338501
0.7107365131378174,0.8393674592827134,0.6920572519302368
0.7095620036125183,0.8395113925622399,0.6921719312667847
0.7084463238716125,0.839666915005898,0.6922802329063416
0.7072941660881042,0.8398409594172306,0.6923812627792358
0.7061896920204163,0.840031766726682,0.692476212978363
0.7050538659095764,0.8402029138469816,0.692564845085144
0.7039748430252075,0.8404356284017301,0.6926470994949341
0.7028884291648865,0.8406645143933279,0.6927232146263123
0.7017808556556702,0.8409453446741582,0.6927934885025024
0.7006964683532715,0.8412395231886758,0.6928574442863464
0.699607253074646,0.8415696074170651,0.692915678024292
0.698525071144104,0.8419496699157716,0.6929680109024048
0.697460412979126,0.8423468057366362,0.69301438331604
0.6964042782783508,0.8427874009229943,0.6930550336837769
0.6953313946723938,0.8431684981684981,0.6930900812149048
0.6942815780639648,0.8435175182632809,0.6931194067001343
0.6932200789451599,0.843356304712237,0.6931429505348206
